Date,Open,High,Low,Close,Volume
20160907,69.4900,70.0000,69.2600,69.7500,4214100
20160908,68.9900,69.4100,68.7000,69.2400,4151600
20160909,66.6700,68.4200,66.6700,68.1900,6995600
20160912,67.9400,68.0200,66.3000,66.3100,6049900
20160913,67.4500,68.5500,67.2700,68.0100,5472600
20160914,67.7900,68.0700,67.2200,67.4600,4011500
20160915,69.2200,69.3600,67.6000,67.8000,6257900
20160916,69.3600,69.9700,68.4800,69.9700,6506200
20160919,69.5400,70.2900,69.2900,69.8300,4100600
20160920,69.1800,69.9000,69.0100,69.7700,3026700
20160921,69.5600,69.7100,68.8300,69.4100,4202100
20160922,69.7600,70.1300,69.4700,70.0100,3566300
20160923,68.9800,70.0000,68.9800,70.0000,3088100
20160926,68.4200,68.7700,68.1300,68.5500,3475600
20160927,69.4500,69.4700,68.0800,68.3900,4560200
20160928,69.7400,69.7800,69.2200,69.4000,3241300
20160929,69.8400,70.2800,69.2200,69.6300,4337900
20160930,70.1800,70.5800,69.8400,69.9500,5071000
20161003,69.6600,70.2600,69.4700,70.0800,3627800
20161004,69.5900,69.9100,69.1000,69.6600,4089500
20161005,70.6000,70.8400,69.0100,69.8500,4789600
20161006,70.9600,71.0000,70.0300,70.4400,4061500
20161007,70.8700,71.0600,70.4500,71.0000,3673600
20161010,69.9300,71.3300,69.9000,71.0800,4893200
20161011,68.7600,69.9700,68.0600,69.9300,5204400
20161012,68.4600,68.8300,67.9900,68.8300,3563900
20161013,67.7700,67.9600,67.0600,67.9100,3897700
20161014,68.4900,69.2200,68.2100,68.2700,4329300
20161017,68.4200,68.9900,68.3700,68.5000,2620900
20161018,69.2500,69.9300,69.1700,69.8600,3590700
20161019,69.4900,69.6100,68.6000,68.8900,5530800
20161020,69.7500,70.0500,68.7700,69.4200,3850400
20161021,69.9700,70.0400,68.8000,69.4100,7027500
20161024,71.6800,71.7400,70.2300,70.2600,5888000
20161025,71.2000,71.8500,71.0800,71.5700,4614200
20161026,71.7100,71.9400,70.7700,71.0000,8151000
20161027,70.7300,72.1800,70.4100,71.4000,9627000
20161028,70.8000,71.6900,70.5200,70.9600,6360100
20161031,70.8500,71.4400,70.8000,71.3100,5411400
20161101,69.4400,71.1300,68.9200,71.1300,7375300
20161102,68.8400,69.9500,68.7200,69.5700,6516800
20161103,67.9000,68.7200,67.5300,68.7000,6723600
20161104,67.6000,68.0000,66.8000,66.8800,6056300
20161107,69.0100,69.4800,68.2900,68.8300,5751100
20161108,69.8300,69.9700,68.9500,69.0100,5409600
20161109,69.7900,69.9500,67.6000,67.8000,5697800
20161110,69.1400,70.7200,68.1300,70.0000,7190600
20161111,69.8500,70.0600,69.0000,69.0200,4974900
20161114,70.0200,70.3500,69.6400,70.1400,6493000
20161115,71.0300,71.3600,70.0500,70.2000,4736500
20161116,71.2000,71.3000,70.5600,71.0100,4880400
20161117,72.0800,72.2800,70.6300,71.1700,3773800
20161118,72.6000,73.1500,71.7500,71.8400,5484200
20161121,73.6800,73.7300,72.7000,72.7500,5447000
20161122,74.4000,74.6400,74.0300,74.0900,6824100
20161123,74.0600,74.5500,73.9200,74.3800,3995500
20161125,74.4300,74.6100,73.7300,73.8700,1978800
20161128,74.5300,74.8900,74.0400,74.2900,4512000
20161129,74.4000,75.2500,74.2300,74.6600,6347000
20161130,73.9300,74.6900,73.9300,74.6700,6768200
20161201,70.4100,73.9100,69.9600,73.8800,9631100
20161202,70.7200,71.1600,69.9200,69.9900,5946400
20161205,70.5100,71.5300,70.3800,71.3400,6405100
20161206,71.3700,71.3900,70.6100,71.1100,7039800
20161207,72.2000,72.4300,71.1200,71.5000,6045900
20161208,72.1300,72.5800,71.8800,72.3200,5473600
20161209,71.9900,72.6500,71.5600,72.3500,6101200
20161212,71.7300,71.9300,71.1900,71.8900,3340600
20161213,73.2000,73.6000,71.7700,71.9500,6950900
20161214,72.5000,73.7000,72.4000,73.5500,6474100
20161215,73.4500,73.5900,72.4500,72.7300,5079500
20161216,72.8900,73.7500,72.6800,73.3600,6478700
20161219,73.5700,74.0800,72.9600,73.1100,3818000
20161220,74.0400,74.1900,73.6000,73.9300,3182000
20161221,74.1700,74.7200,74.1400,74.2200,4272200
20161222,74.2000,74.3200,73.7500,74.2500,3470700
20161223,74.3800,74.3900,74.0000,74.1100,1690800
20161227,74.8700,75.1500,74.1600,74.4200,2037200
20161228,74.0500,75.0500,73.9800,74.9600,2683400
20161229,74.1500,74.4000,73.8000,73.8400,3292600
20161230,72.9700,74.4600,72.7700,74.4300,4311800
20170103,73.5800,74.3100,73.0500,73.5300,4847900
20170104,73.4900,73.9700,73.2500,73.6500,4507100
20170105,72.9200,73.7000,72.8900,73.2900,4301100
20170106,74.1500,74.2800,72.4700,72.8800,5244600
20170109,74.3400,75.2200,74.1700,74.5100,4782900
20170110,74.6000,74.8300,74.0600,74.6200,3712500
20170111,75.2000,75.2000,74.4600,74.6400,4361400
20170112,74.8500,75.1400,74.0900,75.0000,4408200
20170113,75.0000,75.3000,74.7300,74.8300,3372500
20170117,74.4900,74.9500,74.2900,74.6700,4413100
20170118,74.3800,74.8400,74.2500,74.7300,5531400
20170119,73.8800,74.8100,73.8700,74.2200,4468500
20170120,74.7500,74.8900,74.1600,74.1600,6661400
20170123,75.7300,75.7400,74.6400,74.8000,6895100
20170124,77.0800,77.3200,75.9100,76.1900,8561600
